genes	uniprot
B9J09_RS03740	B9J09_RS03740
B9J09_RS03745	B9J09_RS03745
B9J09_RS03750	B9J09_RS03750
B9J09_RS03755	B9J09_RS03755
B9J09_RS03760	B9J09_RS03760
B9J09_RS12350	B9J09_RS12350
B9J09_RS03770	B9J09_RS03770
B9J09_RS03780	B9J09_RS03780
B9J09_RS03785	B9J09_RS03785
B9J09_RS03790	B9J09_RS03790
B9J09_RS03795	B9J09_RS03795
B9J09_RS03800	B9J09_RS03800
B9J09_RS03805	B9J09_RS03805
B9J09_RS03810	B9J09_RS03810
B9J09_RS03815	B9J09_RS03815
B9J09_RS03820	B9J09_RS03820
B9J09_RS03825	B9J09_RS03825
B9J09_RS03830	B9J09_RS03830
B9J09_RS03835	B9J09_RS03835
B9J09_RS03840	B9J09_RS03840
B9J09_RS03845	B9J09_RS03845
B9J09_RS03850	B9J09_RS03850
B9J09_RS03855	B9J09_RS03855
B9J09_RS03860	B9J09_RS03860
B9J09_RS03865	B9J09_RS03865
B9J09_RS03870	B9J09_RS03870
B9J09_RS03875	B9J09_RS03875
B9J09_RS03880	B9J09_RS03880
B9J09_RS03885	B9J09_RS03885
B9J09_RS03890	B9J09_RS03890
B9J09_RS03895	B9J09_RS03895
B9J09_RS03900	B9J09_RS03900
B9J09_RS03905	B9J09_RS03905
B9J09_RS03915	B9J09_RS03915
